,content_descriptors,game_name,platforms,rating 
4,"Cartoon Violence, Crude Humor",LEGO Jurassic World,"PlayStation 3, Wii U, Xbox 360",E10plus
0,No Descriptors,Build-A-Bear Workshop® - Welcome to Hugsville,Nintendo DS,E
1,Comic Mischief,Build-A-Bear Workshop - A Friend Fur All Seasons,Wii,E
2,No Descriptors,Build-A-Bear Workshop,Nintendo DS,E
0,"Mild Language, Mild Violence",Crash City Mayhem,Nintendo 3DS,T
0,"Blood, Drug Reference, Language, Mild Suggestive Themes, Violence",Marvel's Spider-Man Remastered,PlayStation 5,T
1,"Blood, Drug Reference, Language, Violence",Marvel's Spider-Man: Miles Morales,PlayStation 5,T
2,"Blood, Drug Reference, Language, Violence",Marvel's Spider-Man: Miles Morales,PlayStation 4,T
3,"Blood, Drug Reference, Language, Violence",Marvel's Spider-Man: Miles Morales,PlayStation 5,T
4,"Blood, Drug Reference, Language, Mild Suggestive Themes, Violence",Marvel's Spider-Man: Game of the Year Edition,PlayStation 4,T
5,"Blood, Drug Reference, Language, Violence",Marvel's Spider-Man,PlayStation 4,T
6,"Mild Blood, Mild Suggestive Themes, Violence",The Amazing Spider-Man 2,"Windows PC, PlayStation 3, Wii U, Xbox 360",T
7,"Mild Blood, Mild Suggestive Themes, Violence",The Amazing Spider-Man 2,"PlayStation 4, Xbox One",T
8,Mild Violence,The Amazing Spider-Man 2™,Nintendo 3DS,E10plus
9,"Mild Language, Mild Suggestive Themes, Violence",The Amazing Spider-Man,Windows PC,T
0,Mild Fantasy Violence,Mega Man IV,Nintendo 3DS,E
1,Mild Cartoon Violence,Mega Man 4,Nintendo 3DS,E
2,Mild Cartoon Violence,Mega Man 4,"Wii, Wii U",E
0,Mild Fantasy Violence,Castlevania II Simon's Quest,"Nintendo 3DS, Wii, Wii U",E
0,Violence,Toy Story 2: Buzz Lightyear to the Rescue,"PlayStation 3, PSP",E
1,Animated Violence,Toy Story 2: Buzz Lightyear to the Rescue,"Dreamcast, Nintendo 64, PlayStation/PS one",E
0,Fantasy Violence,Teenage Mutant Ninja Turtles™: Mutants in Manhattan,"Windows PC, PlayStation 4, Xbox One",T
1,Fantasy Violence,Teenage Mutant Ninja Turtles™: Mutants in Manhattan,"PlayStation 3, Xbox 360",T
2,Fantasy Violence,Teenage Mutant Ninja Turtles Heroes in a Half-Shell Extended Edition,Plug-and-Play,E10plus
3,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles™: Danger of The Ooze,Nintendo 3DS,E10plus
4,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles™: Danger of The Ooze,"PlayStation 3, Xbox 360",E10plus
5,Fantasy Violence,Teenage Mutant Ninja Turtles™,Nintendo 3DS,E10plus
6,Fantasy Violence,Hero Portal Teenage Mutant Ninja Turtles Heroes In A Half-Shell,Plug-and-Play,E10plus
7,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles,Wii,E10plus
8,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles,Nintendo 3DS,E10plus
9,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles,Xbox 360,E10plus
0,No Descriptors,MLB 07 The Show,"PlayStation 2, PlayStation 3, PSP",E
0,"Cartoon Violence, Comic Mischief",Skylanders Trap Team,"iOS, Mobile Phone, PlayStation 3, Wii U, Xbox 360",E10plus
1,"Cartoon Violence, Comic Mischief",Skylanders Trap Team,"PlayStation 4, Xbox One",E10plus
2,"Cartoon Violence, Comic Mischief",Skylanders Trap Team,Wii,E10plus
3,Cartoon Violence,Skylanders Trap Team,Nintendo 3DS,E10plus
0,Alcohol Reference,Project CARS 3,"Windows PC, PlayStation 4, Xbox One, Xbox Series",E
1,Mild Language,Project CARS 2,"Windows PC, PlayStation 4, Xbox One",E
2,Cartoon Violence,Cars 3: Driven to Win,"PlayStation 4, Xbox One",E10plus
3,Cartoon Violence,Cars 3: Driven to Win,"PlayStation 3, Nintendo Switch, Wii U, Xbox 360",E10plus
4,No Descriptors,HTR+ Slot Car Simulation,PS Vita,E
5,Mild Fantasy Violence,Super Toy Cars,"PlayStation 4, Xbox One",E
6,No Descriptors,Project CARS,"Windows PC, PlayStation 4, Xbox One",E
7,Comic Mischief,Disney/Pixar Cars,PlayStation 3,E
8,Mild Fantasy Violence,Super Toy Cars,"Wii U, Windows PC",E
9,No Descriptors,Jet Car Stunts,"PlayStation 3, PS Vita, Windows PC, Xbox 360, Xbox One",E
0,"Blood and Gore, Intense Violence, Strong Language",Brother's In Arms: Hell's Highway,Windows PC,M
1,"Blood and Gore, Intense Violence, Mild Sexual Themes, Strong Language",Brothers In Arms: Hell's Highway Limited Edition,"Windows PC, PlayStation 3, Xbox 360",M
2,"Blood and Gore, Intense Violence, Strong Language",Brothers In Arms: Hell's Highway,"Windows PC, PlayStation 3, Xbox 360",M
0,No Descriptors,Sno-Cross Championship Racing,"PlayStation 3, PSP",E
1,No Descriptors,Sno-Cross Championship Racing,"Dreamcast, PlayStation/PS one",E
0,Fantasy Violence,Teenage Mutant Ninja Turtles™: Mutants in Manhattan,"Windows PC, PlayStation 4, Xbox One",T
1,Fantasy Violence,Teenage Mutant Ninja Turtles™: Mutants in Manhattan,"PlayStation 3, Xbox 360",T
2,Fantasy Violence,Teenage Mutant Ninja Turtles Heroes in a Half-Shell Extended Edition,Plug-and-Play,E10plus
3,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles™: Danger of The Ooze,Nintendo 3DS,E10plus
4,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles™: Danger of The Ooze,"PlayStation 3, Xbox 360",E10plus
5,Fantasy Violence,Teenage Mutant Ninja Turtles™,Nintendo 3DS,E10plus
6,Fantasy Violence,Hero Portal Teenage Mutant Ninja Turtles Heroes In A Half-Shell,Plug-and-Play,E10plus
7,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles,Wii,E10plus
8,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles,Nintendo 3DS,E10plus
9,"Comic Mischief, Fantasy Violence",Teenage Mutant Ninja Turtles,Xbox 360,E10plus
0,Violence,Top Gun Combat Zones,Game Boy Advance,E
1,Violence,Top Gun-Combat Zones,"GameCube, Windows PC, PlayStation 2",E
0,"Crude Humor, Fantasy Violence, Mild Suggestive Themes",Blue Dragon: Awakened Shadow,Nintendo DS,E10plus
1,"Crude Humor, Fantasy Violence",Blue Dragon Plus,Nintendo DS,E
2,"Alcohol Reference, Crude Humor, Fantasy Violence, Mild Language, Mild Suggestive Themes",Blue Dragon,Xbox 360,T
0,Animated Violence,007: The World Is Not Enough,Online,T
0,No Descriptors,NCAA Football 11,"PlayStation 3, Xbox 360",E
1,No Descriptors,NCAA Football 11,PlayStation 2,E
0,Animated Violence,NHL '98,"Sega Genesis, Super Nintendo",E
1,Animated Violence,NHL '98,"Windows PC, PlayStation/PS one, Sega Saturn",E
0,No Descriptors,FIFA Street,"PlayStation 3, Xbox 360",E
1,No Descriptors,FIFA Street 3,"PlayStation 3, Xbox 360",E
2,No Descriptors,FIFA Street 3,Nintendo DS,E
3,No Descriptors,FIFA Street 2,Nintendo DS,E
4,No Descriptors,FIFA Street 2,"GameCube, PlayStation 2, Xbox",E
5,No Descriptors,FIFA Street 2,PSP,E
6,No Descriptors,FIFA Street,"GameCube, PlayStation 2, Xbox",E
0,No Descriptors,EA SPORTS Active 2,"PlayStation 3, Wii",E
1,No Descriptors,EA SPORTS Active 2,Xbox 360,E
0,Mild Cartoon Violence,SpongeBob SquarePants: The Yellow Avenger,PSP,E
1,No Descriptors,Sponge Bob Squarepants: The Yellow Avenger,Nintendo DS,E
0,"Blood, Mild Language, Suggestive Themes, Violence",WWE SmackDown vs. Raw 2009,"PlayStation 3, Xbox 360",T
1,"Blood, Mild Language, Suggestive Themes, Violence",WWE SmackDown vs. Raw 2009,Wii,T
2,"Blood, Mild Language, Suggestive Themes, Violence",WWE SmackDown vs. Raw 2009,"PlayStation 2, PSP",T
3,Violence,WWE SmackDown vs. Raw 2009,Nintendo DS,T
0,"Blood and Gore, Intense Violence, Nudity, Sexual Content",Dante's Inferno,PSP,M
1,"Blood and Gore, Intense Violence, Nudity, Sexual Content",Dante's Inferno,"PlayStation 3, Xbox 360",M
0,"Comic Mischief, Mild Cartoon Violence",Wipeout: In The Zone,Xbox 360,E10plus
0,Mild Animated Violence,Space Jam,"Windows PC, PlayStation/PS one, Sega Saturn",E
0,Cartoon Violence,Kung Fu Panda Showdown of Legendary Legends,Nintendo 3DS,E10plus
1,Cartoon Violence,Kung Fu Panda Showdown of Legendary Legends,"Windows PC, PlayStation 4, Xbox One",E10plus
2,Cartoon Violence,Kung Fu Panda: Showdown of Legendary Legends,"PlayStation 3, Wii U, Xbox 360",E10plus
3,Mild Cartoon Violence,Kung Fu Panda 2,Nintendo DS,E
4,Cartoon Violence,Kung Fu Panda 2,"PlayStation 3, Wii",E10plus
5,Cartoon Violence,Kung Fu Panda 2,Xbox 360,E10plus
6,Cartoon Violence,Kung Fu Panda: Legendary Warriors,Wii,E10plus
7,Cartoon Violence,Kung Fu Panda: Legendary Warriors,Nintendo DS,E10plus
8,"Fantasy Violence, Mild Language",Kung Fu Panda,"PlayStation 2, Wii",E10plus
9,Cartoon Violence,Kung Fu Panda,Nintendo DS,E10plus
0,Animated Violence,Knockout Kings 2000,PlayStation/PS one,T
1,Animated Violence,Knockout Kings 2000,Nintendo 64,T
0,No Descriptors,Balloon Fight,"Nintendo 3DS, Wii, Wii U",E
1,No Descriptors,Balloon Fight-e,Game Boy Advance,E
0,"Blood and Gore, Drug Reference, Intense Violence, Nudity, Sexual Content, Strong Language, Use of Alcohol",Assassin's Creed Origins ,Stadia,M
1,"Blood and Gore, Intense Violence, Partial Nudity, Sexual Themes, Strong Language, Use of Drugs and Alcohol",Assassin's Creed Valhalla,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Xbox One, Xbox Series",M
2,"Blood, Intense Violence, Sexual Themes, Strong Language",Assassin's Creed III Remastered ,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One",M
3,"Blood, Strong Language, Violence",Assassin's Creed Rogue Remastered,"PlayStation 4, Xbox One",M
4,"Blood and Gore, Intense Violence, Sexual Themes, Strong Language",Assassin's Creed Odyssey ,"Windows PC, PlayStation 4, Stadia, Xbox One",M
5,"Violence, Blood, Strong Language",Assassin's Creed Rogue Remastered,PlayStation 4,M
6,"Blood and Gore, Drug Reference, Intense Violence, Nudity, Sexual Content, Strong Language, Use of Alcohol",Assassin's Creed Origins ,"Windows PC, PlayStation 4, Xbox One",M
7,"Blood, Intense Violence, Sexual Content, Strong Language",Assassin's Creed: The Ezio Collection,"PlayStation 4, Xbox One",M
8,"Violence, Blood, Language",Assassin's Creed Chronicles: Russia,"PlayStation 4, Xbox One",T
9,"Blood, Language, Violence",Assassin's Creed Chronicles Trilogy ,"PlayStation 4, Xbox One",T
0,Mild Cartoon Violence,Disney Magical World 2,Nintendo 3DS,E
1,Mild Cartoon Violence,Disney Magical World,Nintendo 3DS,E
0,"Blood, Strong Language, Violence",Crysis 3,"Windows PC, PlayStation 3, Xbox 360",M
0,Cartoon Violence,LEGO Batman 3: Beyond Gotham,PS Vita,E10plus
1,Cartoon Violence,LEGO Batman 3: Beyond Gotham,"PlayStation 3, Wii U, Xbox 360",E10plus
2,Cartoon Violence,LEGO Batman 3: Beyond Gotham,"Windows PC, PlayStation 4, Xbox One",E10plus
3,Cartoon Violence,LEGO Batman 3: Beyond Gotham,Nintendo 3DS,E10plus
0,"Mild Suggestive Themes, Use of Alcohol, Violence",DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition,Windows PC,T
1,"Violence, Suggestive Themes",DYNASTY WARRIORS 7 Empires,PlayStation 3,T
2,"Alcohol Reference, Mild Language, Mild Suggestive Themes, Violence",DYNASTY WARRIORS 7: Xtreme Legends,PlayStation 3,T
3,"Alcohol Reference, Mild Language, Mild Suggestive Themes, Violence",DYNASTY WARRIORS 7,"PlayStation 3, Xbox 360",T
0,"Blood and Gore, Intense Violence, Partial Nudity, Strong Language",The Evil Within 2,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood and Gore, Intense Violence, Strong Language",The Evil Within,"Windows PC, PlayStation 4, Xbox One",M
2,"Blood and Gore, Intense Violence, Strong Language",The Evil Within,"PlayStation 3, Xbox 360",M
0,No Descriptors,MLB 12 The Show,PS Vita,E
1,No Descriptors,MLB 12 The Show,PlayStation 3,E
0,Cartoon Violence,Sonic Riders: Zero Gravity,"PlayStation 2, Wii",E
1,"Comic Mischief, Mild Cartoon Violence",Sonic Riders,"GameCube, Windows PC, PlayStation 2, Xbox",E
0,Animated Violence,Tobal no.1,PlayStation/PS one,T
0,"Language, Suggestive Themes, Use of Alcohol, Violence",LOST ODYSSEY™,Xbox 360,T
0,No Descriptors,MLB 15 The Show,PlayStation 4,E
1,No Descriptors,MLB 15 The Show,PlayStation 3,E
2,No Descriptors,MLB 15 The Show,PS Vita,E
0,"Blood and Gore, Strong Language, Violence",Operation Flashpoint: Dragon Rising,"Windows PC, PlayStation 3, Xbox 360, Xbox One",M
0,"Blood, Drug Reference, Intense Violence, Strong Language, Suggestive Themes",Homefront: The Revolution,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood, Strong Language, Violence",Homefront,"Windows PC, PlayStation 3, Xbox 360",M
0,Mild Suggestive Themes,AMF Bowling Pinbusters!,Nintendo DS,E
1,Mild Suggestive Themes,AMF Bowling Pinbusters!,Wii,E
0,"Gambling, Strong Lyrics",Street Hoops,"GameCube, PlayStation 2, Xbox",T
0,Mild Fantasy Violence,James Cameron's AVATAR: THE GAME,Nintendo DS,E10plus
1,"Mild Language, Mild Suggestive Themes, Violence",James Cameron's Avatar: The Game,PSP,T
2,"Mild Language, Mild Suggestive Themes, Violence",James Cameron's Avatar: The Game,Wii,T
3,"Animated Blood, Mild Language, Mild Suggestive Themes, Violence",James Cameron's Avatar: The Game,"Windows PC, PlayStation 3, Xbox 360",T
0,"Comic Mischief, Use of Alcohol",Harvest Moon 3D: A New Beginning,Nintendo 3DS,E
0,"Alcohol and Tobacco Reference, Blood, Language, Suggestive Themes, Violence",Tom Clancy's EndWar,Windows PC,T
1,"Alcohol and Tobacco Reference, Blood, Language, Suggestive Themes, Violence",Tom Clancy's EndWar,"Windows PC, PlayStation 3, Xbox 360",T
2,"Animated Blood, Drug Reference, Language, Mild Violence",Tom Clancy's EndWar,"PS Vita, PSP",T
3,"Animated Blood, Drug Reference, Language, Mild Violence",Tom Clancy's EndWar,Nintendo DS,T
0,"Blood, Mild Lyrics, Violence",Knockout Kings 2002,"PlayStation 2, Xbox",T
0,Suggestive Themes,Tokyo  Xtreme Racer 3,PlayStation 2,E
0,Cartoon Violence,LEGO Indiana Jones 2: The Adventure Continues,Nintendo DS,E
1,Cartoon Violence,LEGO Indiana Jones 2: The Adventure Continues,"Windows PC, PlayStation 3, Wii, Xbox 360",E10plus
2,Cartoon Violence,LEGO Indiana Jones 2: The Adventure Continues,PSP,E10plus
0,No Descriptors,Colin McRae Rally 2005,N-Gage,E
1,No Descriptors,Colin McRae Rally 2005,"Windows PC, Xbox",E
0,Comic Mischief,Glover,"Windows PC, PlayStation/PS one",E
1,No Descriptors,Glover,"Nintendo, Windows PC",E
0,No Descriptors,MX vs ATV Reflex,"PS Vita, PSP",E
1,No Descriptors,MX vs ATV Reflex,Nintendo DS,E
2,"Mild Suggestive Themes, Mild Violence",MX vs ATV Reflex,"Windows PC, PlayStation 3, Xbox 360",E
0,Fantasy Violence,Minecraft: Story Mode - Season Two,Nintendo Switch,E10plus
1,Fantasy Violence,Minecraft: Story Mode - Season Two - Episode 5: Above and Beyond,PlayStation 4,E10plus
2,Fantasy Violence,Minecraft: Story Mode - Season Two - Episode 4: Below the Bedrock,"PlayStation 4, Xbox One",E10plus
3,Fantasy Violence,Minecraft: Story Mode - Season Two - Episode 3: Jailhouse Block,"PlayStation 4, Xbox One",E10plus
4,Fantasy Violence,Minecraft: Story Mode - Season Two - Season Pass,"Nintendo Switch, Xbox 360",E10plus
5,Fantasy Violence,Minecraft: Story Mode - Season Two - Season Pass,"PlayStation 4, Xbox One",E10plus
6,Fantasy Violence,Minecraft: Story Mode - Season Two - Episode 2: Giant Consequences,PlayStation 4,E10plus
7,Fantasy Violence,Minecraft: Story Mode - Season Two - Episode 2: Giant Consequences,Xbox One,E10plus
8,"Fantasy Violence, Mild Language",Minecraft: Story Mode - Season Two - Hero in Residence,"PlayStation 4, Windows PC, Xbox 360, Xbox One",E10plus
9,"Fantasy Violence, Mild Language",Minecraft: Story Mode - The Complete Adventure,Nintendo Switch,E10plus
0,"Animated Blood, Comic Mischief, Fantasy Violence, Mild Language, Use of Tobacco",NAMCO MUSEUM ARCHIVES Vol. 1,Windows PC,E10plus
1,Fantasy Violence,NAMCO MUSEUM ARCHIVES Vol. 2,Windows PC,E10plus
2,"Blood and Gore, Suggestive Themes, Violence",NAMCO MUSEUM ARCADE PAC,Nintendo Switch,T
3,Violence,Namco Museum Vol. 1,"PlayStation 3, PS Vita, PSP",E
4,No Descriptors,Namco Museum Vol. 2,"PlayStation 3, PS Vita, PSP",E
5,"Comic Mischief, Mild Violence",Namco Museum Vol. 3,"PlayStation 3, PS Vita, PSP",E
6,Violence,Namco Museum Vol. 4,"PlayStation 3, PS Vita, PSP",E
7,Violence,Namco Museum Vol. 5,"PlayStation 3, PS Vita, PSP",E
8,Mild Cartoon Violence,Namco Museum Megamix,Wii,E
9,Mild Fantasy Violence,Namco Museum Essentials,PlayStation 3,E
0,"Violence, Mild Language",Marvel Ultimate Alliance 2,"PlayStation 4, Xbox One",T
1,"Mild Language, Violence",Marvel: Ultimate Alliance 2,"PlayStation 3, Xbox 360",T
2,"Mild Language, Violence",Marvel Ultimate Alliance 2,"PlayStation 2, PSP, Wii",T
3,"Fantasy Violence, Mild Language",Marvel Ultimate Alliance 2,Nintendo DS,E10plus
0,"Mild Language, Violence",Call of Duty: World at War - Final Fronts,PlayStation 2,T
1,"Blood, Strong Language, Violence",Call of Duty: World at War,Wii,M
2,"Blood and Gore, Intense Violence, Strong Language",Call of Duty: World at War,"Windows PC, PlayStation 3, Xbox 360, Xbox One",M
3,"Blood, Mild Language, Violence",Call of Duty: World at War,Nintendo DS,T
0,"Animated Blood, Violence",Sonic Mega Collection Plus,"PlayStation 2, Xbox, Xbox 360",E
0,"Lyrics, Mild Suggestive Themes",DJ Hero 2,"PlayStation 3, Xbox 360",T
1,"Lyrics, Mild Suggestive Themes",DJ Hero 2,Wii,T
2,"Lyrics, Mild Suggestive Themes",DJ Hero,"PlayStation 2, PlayStation 3, Wii, Xbox 360",T
0,"Blood, Intense Violence, Nudity, Sexual Content, Strong Language",Dragon Age: Inquisition,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood, Intense Violence, Nudity, Sexual Content, Strong Language",Dragon Age: Inquisition,"PlayStation 3, Xbox 360",M
0,"Alcohol and Tobacco Reference, Animated Blood, Cartoon Violence, Crude Humor, Language, Suggestive Themes",The Simpsons™ Game,"PlayStation 2, PlayStation 3, PSP, Wii, Xbox 360",T
1,"Alcohol and Tobacco Reference, Animated Blood, Cartoon Violence, Crude Humor, Mild Language",The Simpsons™ Game,Nintendo DS,T
0,No Descriptors,Tiger Woods PGA Tour 2002,"Windows PC, PlayStation 2",E
0,Mild Cartoon Violence,Rhythm Heaven Fever,"Wii, Wii U",E
1,Comic Mischief,Rhythm Heaven,Nintendo DS,E
0,No Descriptors,MLB 2005,"PlayStation 2, PlayStation/PS one",E
0,"Blood, Strong Language, Violence",Socom 4: U.S. Navy SEAL's,PlayStation 3,M
0,Violence,Burnout Revenge,Xbox 360,E10plus
1,Violence,Burnout Revenge,"Online, PlayStation 2, Xbox",E10plus
0,"Alcohol Reference, Blood and Gore, Mild Suggestive Themes, Mild Violence",Buzz!™ Quiz TV Horror Movie Quiz,PlayStation 3,T
1,"Alcohol Reference, Mild Blood, Mild Suggestive Themes, Mild Violence",Buzz! Quiz TV,PlayStation 3,T
0,No Descriptors,Destruction Derby,PlayStation 3,E
1,No Descriptors,Destruction Derby,"PS Vita, PSP",E
2,No Descriptors,Hot Wheels Double Destruction Derby Plug &amp; Play,Plug-and-Play,E
3,"Mild Language, Mild Violence, Suggestive Themes",Destruction Derby Arenas,"Online, PlayStation 2",T
4,No Descriptors,Destruction Derby Raw,PlayStation/PS one,E
5,No Descriptors,Destruction Derby 64,Nintendo 64,E
6,No Descriptors,Destruction Derby 2,"Windows PC, PlayStation/PS one",E
7,No Descriptors,Destruction Derby,"Windows PC, PlayStation Certified Device, PlayStation/PS one",E
0,Mild Cartoon Violence,TouchMaster 2,Nintendo DS,E
1,Mild Cartoon Violence,TouchMaster 2,Nintendo DS,E
0,"Blood, Strong Language, Violence",Crysis 3,"Windows PC, PlayStation 3, Xbox 360",M
0,"Mild Language, Violence",Dynasty Warriors 3 Xtreme Legends,PlayStation 2,T
0,Mild Suggestive Themes,Hot Shots Tennis,PlayStation 4,E
1,"Comic Mischief, Mild Suggestive Themes",Hot Shots Tennis: Get a Grip,"PS Vita, PSP",E
2,Mild Suggestive Themes,Hot Shots Tennis,PlayStation 2,E
0,Mild Fantasy Violence,Sonic Heroes,PlayStation 3,E
1,Mild Fantasy Violence,Sonic Heroes,"GameCube, Windows PC, PlayStation 2, Xbox",E
0,"Blood and Gore, Partial Nudity, Strong Language, Suggestive Themes, Violence",Resistance: Retribution,"PS Vita, PSP",M
0,No Descriptors,Tiger Woods PGA TOUR 12: The Masters,Wii,E
1,No Descriptors,Tiger Woods PGA TOUR 12: The Masters,"Macintosh, Windows PC, PlayStation 3, Xbox 360",E
0,"Animated Blood, Violence",Star Wars™ The Force Unleashed™ II,Nintendo DS,T
1,"Mild Blood, Violence",Star Wars™ The Force Unleashed™ II,Wii,T
2,Violence,Star Wars™ The Force Unleashed™ II,"Windows PC, PlayStation 3, Xbox 360",T
3,Violence,Star Wars® The Force Unleashed™: Ultimate Sith Edition,"PlayStation 3, Xbox 360",T
4,Violence,Star Wars® The Force Unleashed™: Ultimate Sith Edition,"Macintosh, Windows PC",T
5,Violence,Star Wars: The Force Unleashed,"PlayStation 3, Xbox 360",T
6,Violence,Star Wars: The Force Unleashed,"PlayStation 2, PSP, Wii",T
7,Fantasy Violence,Star Wars: The Force Unleashed,Nintendo DS,T
0,No Descriptors,Madden NFL 99,PlayStation/PS one,E
1,No Descriptors,Madden NFL 99,"Nintendo 64, Windows PC",E
0,Cartoon Violence,Spider-Man 3,Nintendo DS,E10plus
1,"Mild Language, Violence",Spider-Man 3,"PlayStation 2, PSP, Wii",T
2,"Alcohol Reference, Animated Blood, Mild Language, Violence",Spider-Man 3,"Windows PC, PlayStation 3, Xbox 360",T
3,Cartoon Violence,Spider-Man 3,Hyperscan,E10plus
4,Cartoon Violence,Spider-Man 3 - TV Game,Plug-and-Play,E10plus
5,Cartoon Violence,Spider-Man 3: The Movie Game,Game Boy Advance,E10plus
0,Mild Lyrics,Samba De Amigo™,Wii,E
1,Comic Mischief,Samba De Amigo,Dreamcast,E
0,"Blood and Gore, Sexual Themes, Use of Alcohol, Violence",The Elder Scrolls Online: Greymoor,"Macintosh, Windows PC, PlayStation 4, Stadia, Xbox One",M
1,"Blood and Gore, Sexual Themes, Use of Alcohol, Violence",The Elder Scrolls Online: Elsweyr,"Macintosh, Windows PC, PlayStation 4, Xbox One",M
2,"Blood and Gore, Sexual Themes, Use of Alcohol, Violence",The Elder Scrolls Online: Summerset,"Macintosh, Windows PC, PlayStation 4, Xbox One",M
3,"Blood and Gore, Sexual Themes, Use of Alcohol, Violence",The Elder Scrolls Online: Morrowind,"Macintosh, Windows PC, PlayStation 4, Xbox One",M
4,"Blood and Gore, Sexual Themes, Use of Alcohol, Violence",The Elder Scrolls Online: Gold Edition,"Macintosh, Windows PC, PlayStation 4, Xbox One",M
5,"Blood and Gore, Sexual Themes, Use of Alcohol, Violence",The Elder Scrolls Online: Tamriel Unlimited Imperial Edition,"PlayStation 4, Xbox One",M
6,"Blood and Gore, Sexual Themes, Use of Alcohol, Violence",The Elder Scrolls Online: Tamriel Unlimited,"Macintosh, Windows PC, PlayStation 4, Xbox One",M
7,"Blood and Gore, Sexual Themes, Use of Alcohol, Violence",The Elder Scrolls Online,"Macintosh, Windows PC, PlayStation 4, Stadia, Xbox One",M
0,No Descriptors,Pure Farming 2018,"Windows PC, PlayStation 4, Xbox One",E
1,No Descriptors,Pure Chess Grandmaster Edition,Xbox One,E
2,Simulated Gambling,The Pure Bundle,Xbox One,T
3,Simulated Gambling,Pure Hold'em,"PlayStation 4, Xbox One",T
4,No Descriptors,Pure Chess,PlayStation 4,E
5,No Descriptors,Pure Pool,PlayStation 4,E
6,No Descriptors,Pure Pool,"PlayStation 4, Windows PC, Xbox One",E
7,No Descriptors,Pure Chess,"Nintendo 3DS, PlayStation 4, Wii U",E
8,No Descriptors,Pure Chess,"PlayStation 3, PS Vita",E
9,"Alcohol Reference, Violent References",Pure Hidden,Windows PC,E10plus
0,No Descriptors,FIFA Soccer 09 All-Play,Wii,E
0,"Crude Humor, Fantasy Violence",Fossil Fighters: Frontier,Nintendo 3DS,E10plus
1,"Crude Humor, Mild Fantasy Violence",Fossil Fighters: Champions,Nintendo DS,E
2,"Crude Humor, Mild Fantasy Violence",Fossil Fighters,Nintendo DS,E
0,"Cartoon Violence, Comic Mischief",Little Big Planet: Karting,PlayStation 3,E
0,Fantasy Violence,X-Men Legends 2,N-Gage,E10plus
1,"Mild Language, Violence",X-Men Legends II: Rise of Apocalypse,"Online, Windows PC, PlayStation 2, PSP, Xbox",T
2,Fantasy Violence,X-Men Legends,N-Gage,T
3,"Blood, Violence",X-Men Legends,"GameCube, PlayStation 2, Xbox",T
0,No Descriptors,NBA Live 2005,"GameCube, Online, Windows PC, PlayStation 2, Xbox",E
0,No Descriptors,Harry Potter: Quidditch World Cup,Game Boy Advance,E
1,No Descriptors,Harry Potter: Quidditch World Cup,"GameCube, Windows PC, PlayStation 2, Xbox",E
0,No Descriptors,The Biggest Loser Ultimate Workout,Xbox 360,E
0,Comic Mischief,The Penguins of Madagascar,Nintendo 3DS,E
1,Comic Mischief,The Penguins of Madagascar,Wii U,E
2,Comic Mischief,The Penguins of Madagascar,Wii,E
3,Mild Cartoon Violence,Madagascar 3: The Video Game,Nintendo 3DS,E
4,Mild Cartoon Violence,Madagascar 3: The Video Game,Nintendo DS,E
5,Comic Mischief,Madagascar 3: The Video Game,"PlayStation 3, Xbox 360",E
6,Comic Mischief,Madagascar 3: The Video Game ,Wii,E
7,Comic Mischief,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,"PlayStation 3, Wii",E
8,"Comic Mischief, Mild Cartoon Violence",The Penguins of Madagascar: Dr. Blowhole Returns – Again!,Xbox 360,E
9,"Comic Mischief, Mild Cartoon Violence",The Penguins of Madagascar: Dr. Blowhole Returns – Again!,Nintendo DS,E
0,"Blood, Strong Language, Suggestive Themes, Violence",Call of Juarez: Bound in Blood,Windows PC,M
1,"Blood, Strong Language, Suggestive Themes, Violence",Call of Juarez: Bound in Blood,"Windows PC, PlayStation 3, Xbox 360, Xbox One",M
0,"Blood, Language, Violence",Killzone: Liberation,"PS Vita, PSP",T
0,No Descriptors,Madden NFL 08 en Español,PlayStation 2,E
1,No Descriptors,Madden NFL 08 en Español,Xbox 360,E
2,No Descriptors,Madden NFL 08,"PlayStation 3, Xbox 360",E
3,No Descriptors,Madden NFL 08,Wii,E
4,No Descriptors,Madden NFL 08,PSP,E
5,No Descriptors,Madden NFL 08 ,"GameCube, Macintosh, Windows PC, PlayStation 2, Xbox",E
6,No Descriptors,Madden NFL 08,Nintendo DS,E
