,content_descriptors,game_name,platforms,rating
0,Mild Fantasy Violence,Wario Land: Super Mario Land 3,Nintendo 3DS,E
1,No Descriptors,Super Mario Land 2: 6 Golden Coins,Nintendo 3DS,E
2,No Descriptors,Super Mario Land,Nintendo 3DS,E
3,No Descriptors,Super Mario Land,Game Boy,E
4,No Descriptors,Super Mario Land 2: Six Golden Coins,Game Boy,E
5,No Descriptors,Wario Land: Super Mario Land 3,Game Boy,E
0,No Descriptors,Super Mario Bros. 3,"Nintendo 3DS, Wii, Wii U",E
1,No Descriptors,Super Mario Advance 4: Super Mario Bros. 3,"Game Boy Advance, Wii U",E
2,No Descriptors,Super Mario Bros III,Nintendo,E
0,"Blood and Gore, Intense Violence, Mature Humor, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto V,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Grand Theft Auto Vice City,PlayStation 4,M
2,"Blood and Gore, Intense Violence, Mature Humor, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto V,"PlayStation 3, Xbox 360",M
3,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Grand Theft Auto: Vice City,PlayStation 3,M
4,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Grand Theft Auto: Vice City Stories,PlayStation 3,M
5,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Grand Theft Auto: Vice City Stories,PlayStation 2,M
6,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Grand Theft Auto: Vice City Stories,PSP,M
7,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Grand Theft Auto Vice City,"iOS, Macintosh, Mobile Phone, Windows PC, PlayStation 2, Xbox",M
0,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Grand Theft Auto Vice City,PlayStation 4,M
1,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Grand Theft Auto: Vice City,PlayStation 3,M
2,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Grand Theft Auto: Vice City Stories,PlayStation 3,M
3,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Grand Theft Auto: Vice City Stories,PlayStation 2,M
4,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Grand Theft Auto: Vice City Stories,PSP,M
